T (K),u (kJ/kg),h (kJ/kg),s0 T (kJ/kg-K)
200,142.77,200.17,6.4626
220,157.07,220.22,6.55812
240,171.38,240.27,6.64535
260,185.7,260.32,6.72562
280,200.02,280.39,6.79998
290,207.19,290.43,6.83521
298.15,213.04,298.62,6.86305
300,214.36,300.47,6.86926
320,228.73,320.58,6.93413
340,243.11,340.7,6.99515
360,257.53,360.86,7.05276
380,271.99,381.06,7.10735
400,286.49,401.3,7.15926
420,301.04,421.59,7.20875
440,315.64,441.93,7.25607
460,330.31,462.34,7.30142
480,345.04,482.81,7.34499
500,359.84,503.36,7.38692
520,374.73,523.98,7.42736
540,389.69,544.69,7.46642
560,404.74,565.47,7.50422
580,419.87,586.35,7.54084
600,435.1,607.32,7.57638
620,450.42,628.38,7.6109
640,465.83,649.53,7.64448
660,481.34,670.78,7.67717
680,496.94,692.12,7.70903
700,512.64,713.56,7.7401
720,528.44,735.1,7.77044
740,544.33,756.73,7.80008
760,560.32,778.46,7.82905
780,576.4,800.28,7.8574
800,592.58,822.2,7.88514
850,633.42,877.4,7.95207
900,674.82,933.15,8.01581
950,716.76,989.44,8.07667
1000,759.19,1046.22,8.13493
1050,802.1,1103.48,8.19081
1100,845.45,1161.18,8.24449
1150,889.21,1219.3,8.29616
1200,933.37,1277.81,8.34596
1250,977.89,1336.68,8.39402
1300,1022.75,1395.89,8.44046
1350,1067.94,1455.43,8.48539
1400,1113.43,1515.27,8.52891
1450,1159.2,1575.4,8.57111
1500,1205.25,1635.8,8.61208
1550,1251.55,1696.45,8.65185
1600,1298.08,1757.33,8.69051
1650,1344.83,1818.44,8.72811
1700,1391.8,1879.76,8.76472
1750,1438.97,1941.28,8.80039
1800,1486.33,2002.99,8.83516
1850,1533.87,2064.88,8.86908
1900,1581.59,2126.95,8.90219
1950,1629.47,2189.19,8.93452
2000,1677.52,2251.58,8.96611
2050,1725.71,2314.13,8.99699
2100,1774.06,2376.82,9.02721
2150,1822.54,2439.66,9.05678
2200,1871.16,2502.63,9.08573
2250,1919.91,2565.73,9.11409
2300,1968.79,2628.96,9.14189
2350,2017.79,2692.31,9.16913
2400,2066.91,2755.78,9.19586
2450,2116.14,2819.37,9.22208
2500,2165.48,2883.06,9.24781
2550,2214.93,2946.86,9.27308
2600,2264.48,3010.76,9.2979
2650,2314.13,3074.77,9.32228
2700,2363.88,3138.87,9.34625
2750,2413.73,3203.06,9.3698
2800,2463.66,3267.35,9.39297
2850,2513.69,3331.73,9.41576
2900,2563.8,3396.19,9.43818
2950,2613.99,3460.73,9.46025
3000,2664.27,3525.36,9.48198
